Day,Platform,TSM: Platform,TSM: Audience,TSM: Customer Type,TSM: Product Type,TSM: Ad Type,TSM: Ad Content,TSM: Sales Kind,TSM: Platform Objective,TSM: Buying Objective,Spend,Impressions,Link Clicks,Video Views,TSM: Total Shopify Sales,TSM: Total Units Sold
14/10/2021,Facebook,Facebook,,,,Image,,,Brand Awareness,STORE_VISITS,17.91,768,0,0,0,0
14/10/2021,Facebook,Facebook,,,,Image,,,Conversion Campaign,CONVERSIONS,30.61,176,0,0,0,0
14/10/2021,Facebook,Facebook,,,,Product Feed - Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,152.93,3115,12,0,0,0
14/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,CONVERSIONS,593.74,15389,48,149,0,0
14/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LEAD_GENERATION,74.27,2655,29,0,0,0
14/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LINK_CLICKS,22.18,2740,167,212,0,0
14/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,PRODUCT_CATALOG_SALES,2.07,74,0,0,0,0
14/10/2021,Facebook,Facebook,,,,Video,,,Conversion Campaign,LINK_CLICKS,0.01,2,0,0,0,0
14/10/2021,Facebook,Facebook,,,"'-,Hats,T-Shirts",Product Feed - Carousel,6242595638200,order,Conversion Campaign,PRODUCT_CATALOG_SALES,362.23,16018,54,0,120.9,2
14/10/2021,Facebook,Facebook,,,"'-,Sweatshirts",Product Feed - Image,,order,Conversion Campaign,CONVERSIONS,54.74,2103,10,0,272.2,2
14/10/2021,Facebook,Facebook,,,"Bottoms,Hats,Sweatshirts",Product Feed - Image,,return,Conversion Campaign,PRODUCT_CATALOG_SALES,7.46,187,0,0,-305,0
14/10/2021,Google Ads,Google Ads Display,Image ad,,,Image ad,,,Conversion Campaign,Maximize Conversions,2.4,1162,2,0,0,0
14/10/2021,Google Ads,Google Ads Display,Responsive display ad,,,Responsive display ad,,,Conversion Campaign,Maximize Conversions,17.63,8658,48,0,0,0
14/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target CPA,9.77,56,7,0,0,0
14/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target ROAS,3.43,11,1,0,0,0
14/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Maximize Conversion Value,203.47,514,73,0,0,0
14/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Target ROAS,256.35,3284,92,0,0,0
14/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,Bottoms,T-Shirts",Expanded text ad,520986452067,"order,return",Conversion Campaign,Maximize Conversion Value,12.51,32,15,0,-5,2
14/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Maximize Conversion Value,92.72,585,26,0,0,0
14/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Target ROAS,114.15,1567,52,0,0,0
14/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Shirt Jackets,Sweatshirts,T-Shirts",Responsive search ad,515181510893,order,Conversion Campaign,Maximize Conversion Value,74.13,284,83,0,1295.29,11
14/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Sweatshirts",Responsive search ad,515077750017,order,Conversion Campaign,Maximize Conversion Value,57.26,226,36,0,125,1
14/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Sweatshirts,T-Shirts",Responsive search ad,515077754826,order,Conversion Campaign,Maximize Conversion Value,31.52,41,6,0,158,2
14/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,T-Shirts",Responsive search ad,515135199559,order,Conversion Campaign,Maximize Conversion Value,21.11,212,31,0,85,1
14/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,T-Shirts",Responsive search ad,515181510128,order,Conversion Campaign,Maximize Conversion Value,28.76,71,11,0,256,4
14/10/2021,Google Ads,Google Shopping,Shopping ad,,,Shopping ad,,,Conversion Campaign,Target ROAS,137.12,17052,91,0,0,0
14/10/2021,Google Ads,Google Shopping,Shopping ad (goal-optimized),,,Shopping ad (goal-optimized),,,Conversion Campaign,Maximize Conversion Value,83.17,8225,83,0,0,0
15/10/2021,Amazon,Amazon,,,,productCollection,,,Conversion Campaign,,33.61,5609,31,0,0,0
15/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,autoForSales,34.05,88414,28,0,0,0
15/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,,0,246,0,0,0,0
15/10/2021,Facebook,Facebook,,,,Carousel,,,Conversion Campaign,CONVERSIONS,32.82,549,1,0,0,0
15/10/2021,Facebook,Facebook,,,,Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,16.21,754,4,0,0,0
15/10/2021,Facebook,Facebook,,,,Collection,,,Conversion Campaign,CONVERSIONS,258.13,10916,64,30,0,0
15/10/2021,Facebook,Facebook,,,,Image,,,Brand Awareness,STORE_VISITS,23.58,581,1,0,0,0
15/10/2021,Facebook,Facebook,,,,Image,,,Conversion Campaign,CONVERSIONS,22.29,224,1,0,0,0
15/10/2021,Facebook,Facebook,,,,Product Feed - Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,139.51,2546,15,0,0,0
15/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,CONVERSIONS,781.02,24482,79,175,0,0
15/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LEAD_GENERATION,73.67,2250,31,0,0,0
15/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LINK_CLICKS,16.02,3065,211,232,0,0
15/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,PRODUCT_CATALOG_SALES,7.38,226,0,0,0,0
15/10/2021,Facebook,Facebook,,,"'-,Bottoms,T-Shirts",Collection,,order,Conversion Campaign,CONVERSIONS,19.78,749,8,0,158,2
15/10/2021,Facebook,Facebook,,,"'-,Hats",Product Feed - Carousel,,order,Conversion Campaign,PRODUCT_CATALOG_SALES,374.54,15268,53,0,52.95,1
15/10/2021,Facebook,Facebook,,,"'-,T-Shirts",Collection,,order,Conversion Campaign,CONVERSIONS,49.98,2036,14,0,195.86,2
15/10/2021,Google Ads,Google Ads Display,Image ad,,,Image ad,,,Conversion Campaign,Maximize Conversions,4.94,471,1,0,0,0
15/10/2021,Google Ads,Google Ads Display,Responsive display ad,,,Responsive display ad,,,Conversion Campaign,Maximize Conversions,16.79,3891,26,0,0,0
